endnodenm,endvehicletime,routeid,routeno,routetp,startnodenm,startvehicletime
비하종점,2255,CJB270012000,823,간선버스,우진교통종점,0530
비하종점,2307,CJB270012200,831,순환버스,우진교통종점,0530
비하종점,2300,CJB270012300,832,순환버스,석판종점,0550
정북동,2245,CJB270012400,841,간선버스,미평사거리(궁뜰로),0540
우진교통종점,2143,CJB270012600,842-1,순환버스,우진교통종점,0530
우진교통종점,2208,CJB270012700,842-2,순환버스,우진교통종점,0545
동부종점,2245,CJB270012900,851,간선버스,예비군훈련장,0535
종합운동장.청주의료원,2120,CJB270013500,864,간선버스,인경리,0640
도청,,CJB270013503,864(단),순환버스,인경리,
평동,2125,CJB270014000,911,간선버스,소바위종점,0600
신전동,2115,CJB270014200,912,지선버스,덕촌3리,0710
미호종점,2125,CJB270014300,913,지선버스,평동,0540
정상마을종점,2045,CJB270014500,914,간선버스,분평아파트단지종점,0730
예비군훈련장,2139,CJB270014600,915,간선버스,우진교통종점,0630
서촌동,2143,CJB270015100,917,간선버스,동부종점,0620
월오동종점,2048,CJB270015500,920,지선버스,하수처리과종점,0550
보살사,2220,CJB270015800,922,간선버스,예비군훈련장,0550
오창종점,2200,CJB270016200,710,간선버스,샛별초등학교,0550
비하종점,2225,CJB270016300,820,간선버스,동부종점,0540
북부공영차고지,2224,CJB270016400,872,간선버스,우진교통종점,0554
북부공영차고지,2222,CJB270016500,871,간선버스,우진교통종점,0530
원평2구,2125,CJB270017300,916-1,간선버스,분평아파트단지종점,0540
원평2구,2220,CJB270017400,916-2,간선버스,분평아파트단지종점,0630
오창제3산업단지종점,2025,CJB270017500,535,간선버스,오송역6,0520
초정약수종점,2220,CJB270018000,101,간선버스,석판종점,0530
오송역종점,,CJB270021701,B2(단),광역급행버스,반석네거리,
석판종점,2256,CJB270024600,833,순환버스,비하종점,0540
한국보건복지인재원,2250,CJB270024700,518,지선버스,한국교원대학교,0540
오송역종점,1550,CJB270025700,A3,광역급행버스,반석역,1050
오송역종점,0001,CJB270025800,B4,광역급행버스,반석역,0517
형석중.고등학교,2225,CJB270026300,109,급행버스,석판종점,0550
노바렉스,2203,CJB270026400,503,간선버스,우진1차고지,0530
조치원역,2200,CJB270026500,509,급행버스,동부종점,0520
청신운수,2234,CJB270026600,702,간선버스,양청고등학교종점,0550
비하종점,2228,CJB270026700,731,지선버스,오창종점,0535
청신운수,2230,CJB270026800,813,간선버스,북부공영차고지,0530
미평사거리(궁뜰로),2250,CJB270027100,853,간선버스,봉명종점,0530
조치원역,2250,CJB270027200,521,지선버스,오송역6,0530
방말,2100,CJB270027500,723,지선버스,북부공영차고지,0600
비하종점,2310,CJB270027600,843,순환버스,비하종점,0530
율량LH9단지.제일풍경채아파트,2310,CJB270027700,844,간선버스,남부종점,0540
